5	Динамическое программирование (двумерное)	114592	Саша и стажировки
6	Динамическое программирование (двумерное)	113102	Интересные числа
7	Динамическое программирование (двумерное)	193	Гладкие числа
8	Динамическое программирование (двумерное)	3002	Пилообразные последовательности - 2
9	Динамическое программирование (двумерное)	113440	Калькулятор
1	Рюкзаки	3087	Банкомат
2	Рюкзаки	1120	0-1 рюкзак: точный вес
3	Рюкзаки	1119	0-1 рюкзак: наибольший вес
4	Рюкзаки	1121	0-1 рюкзак: минимум предметов
5	Рюкзаки	3089	Рюкзак
6	Рюкзаки	3090	Рюкзак с восстановлением ответа (C)
7	Рюкзаки	3092	Гирьки
8	Рюкзаки	3093	Гирьки: кучки одного размера
9	Рюкзаки	3094	Гирьки: три кучки
10	Рюкзаки	1633	Пицца
11	Рюкзаки	1374	Снова ка-штаны
12	Рюкзаки	3098	Сдача - 2
13	Рюкзаки	545	Две стены
1	Очередь, стек, дек	57	Простая очередь
2	Очередь, стек, дек	58	Очередь с защитой от ошибок
3	Очередь, стек, дек	59	Очередь неограниченного размера
4	Очередь, стек, дек	49	Списки по классам
5	Очередь, стек, дек	54	Простой стек
6	Очередь, стек, дек	55	Стек с защитой от ошибок
7	Очередь, стек, дек	56	Стек неограниченного размера
8	Очередь, стек, дек	53	Контейнеры
9	Очередь, стек, дек	51	Правильная скобочная последовательность
10	Очередь, стек, дек	60	Простой дек
11	Очередь, стек, дек	61	Дек с защитой от ошибок
12	Очередь, стек, дек	62	Дек неограниченного размера
13	Очередь, стек, дек	50	Игра в пьяницу
14	Очередь, стек, дек	112984	Гоблины и шаманы
15	Очередь, стек, дек	52	Постфиксная запись
1	Стек и минимум в окне	51	Правильная скобочная последовательность
2	Стек и минимум в окне	3486	5E: удалите скобки
3	Стек и минимум в окне	111801	Гемоглобин
4	Стек и минимум в окне	869	Сортировка вагонов
5	Стек и минимум в окне	3866	Поврежденный XML
6	Стек и минимум в окне	112736	Великое Лайнландское переселение
7	Стек и минимум в окне	111253	Гистограмма
8	Стек и минимум в окне	756	Минимум на отрезке
9	Стек и минимум в окне	3583	Башня
10	Стек и минимум в окне	3711	Большой, белый, очень прямоугольный
11	Стек и минимум в окне	114430	Небоскрёбы
12	Стек и минимум в окне	113915	Расшифровка
13	Стек и минимум в окне	22	Ударим мостом по бездорожью
1	Графы: Основы и BFS	465	От списка ребер к матрице смежности, неориентированный вариант
2	Графы: Основы и BFS	174	Города и дороги
3	Графы: Основы и BFS	175	Светофорчики
4	Графы: Основы и BFS	176	Цветной дождь
5	Графы: Основы и BFS	177	Издевательство
6	Графы: Основы и BFS	2868	Дерево?
7	Графы: Основы и BFS	182	Получи дерево
8	Графы: Основы и BFS	160	Путь
9	Графы: Основы и BFS	161	Один конь
10	Графы: Основы и BFS	111540	Компоненты связности
11	Графы: Основы и BFS	112826	Вершины на путях
12	Графы: Основы и BFS	1333	Долой списывание!
13	Графы: Основы и BFS	200	Площадь комнаты
14	Графы: Основы и BFS	162	Табличка
15	Графы: Основы и BFS	114105	Родословная: подсчет уровней
16	Графы: Основы и BFS	31	Роботы
			
			
1	Графы: DFS. Поиск циклов. Топологическая сортировка	164	Обход в глубину
2	Графы: DFS. Поиск циклов. Топологическая сортировка	165	Банкет
3	Графы: DFS. Поиск циклов. Топологическая сортировка	98	Есть ли цикл?
4	Графы: DFS. Поиск циклов. Топологическая сортировка	111841	Поиск цикла
5	Графы: DFS. Поиск циклов. Топологическая сортировка	858	Свинки-копилки
6	Графы: DFS. Поиск циклов. Топологическая сортировка	166	Построение
7	Графы: DFS. Поиск циклов. Топологическая сортировка	1928	Производство деталей
8	Графы: DFS. Поиск циклов. Топологическая сортировка	114108	Диаметр дерева
9	Графы: DFS. Поиск циклов. Топологическая сортировка	111701	Секрет
10	Графы: DFS. Поиск циклов. Топологическая сортировка	652	Удаление клеток
11	Графы: DFS. Поиск циклов. Топологическая сортировка	115076	Ориентация ребер
12	Графы: DFS. Поиск циклов. Топологическая сортировка	2871	Вслепую по лабиринту
13	Графы: DFS. Поиск циклов. Топологическая сортировка	112751	Магические порталы
			
			
	Графы: Кратчайшие пути	114107	Кратчайший путь во взвешенном графе
			
			
1	Сортировка событий и сканирующая точка	641	Закраска прямой
2	Сортировка событий и сканирующая точка	3356	Минимальное покрытие
3	Сортировка событий и сканирующая точка	112542	Точки и отрезки
4	Сортировка событий и сканирующая точка	3721	Кассы
5	Сортировка событий и сканирующая точка	3204	Отрезки на прямой возвращаются
6	Сортировка событий и сканирующая точка	516	Древние цивилизации
7	Сортировка событий и сканирующая точка	111768	Охрана
8	Сортировка событий и сканирующая точка	484	Реклама
9	Сортировка событий и сканирующая точка	113225	Межрегиональная олимпиада - 50
10	Сортировка событий и сканирующая точка	112038	Межрегиональная олимпиада
1	Префикс-функция и Z-функция	1323	Префикс-функция
2	Префикс-функция и Z-функция	1324	Z-функция
3	Префикс-функция и Z-функция	99	КМП
4	Префикс-функция и Z-функция	100	Строчки
5	Префикс-функция и Z-функция	1327	Период строки
6	Префикс-функция и Z-функция	1042	A-функция от строчки
7	Префикс-функция и Z-функция	111634	Робот
8	Префикс-функция и Z-функция	112567	Кубики
9	Префикс-функция и Z-функция	112915	Палиндромики
10	Префикс-функция и Z-функция	1326	Максимальные подпалиндромы
11	Префикс-функция и Z-функция	111662	Красивые номера
1	Дерево отрезков	3317	Суммы на подотрезках с изменением элемента
2	Дерево отрезков	752	RMQ
3	Дерево отрезков	3311	Левый максимум на подотрезке
4	Дерево отрезков	3314	НОД на подотрезках
5	Дерево отрезков	3323	k-й ноль на интервале, c изменением элемента
6	Дерево отрезков	3335	Лыжные гонки
7	Дерево отрезков	753	Непересекающиеся отрезки
8	Дерево отрезков	934	Информационный стенд
9	Дерево отрезков	1049	Горнолыжные соревнования
10	Дерево отрезков	1364	Сугробы на ЛЭП
11	Дерево отрезков	3306	Pyramid Base
12	Дерево отрезков	111744	Профессиональный декоратор заборов
13	Дерево отрезков	111777	Число возрастающих подпоследовательностей
14	Дерево отрезков	111800	Окна
15	Дерево отрезков	112541	Туристическое агентство
1	Элементарная геометрия	267	Полярный угол точки
2	Элементарная геометрия	268	Угол между векторами
3	Элементарная геометрия	269	Площадь треугольника
4	Элементарная геометрия	270	Уравнение прямой I
5	Элементарная геометрия	271	Уравнение прямой II
6	Элементарная геометрия	272	Параллельная прямая
7	Элементарная геометрия	273	Принадлежность точки отрезку
8	Элементарная геометрия	274	Принадлежность точки прямой
9	Элементарная геометрия	275	Принадлежность точки лучу
10	Элементарная геометрия	276	Положение точек вне прямой
11	Элементарная геометрия	277	Расстояние от точки до прямой
12	Элементарная геометрия	278	Расстояние от точки до луча
13	Элементарная геометрия	279	Расстояние от точки до отрезка
14	Элементарная геометрия	280	Пересечение отрезков
15	Элементарная геометрия	281	Пересечение двух прямых
16	Элементарная геометрия	282	Биссектриса
17	Элементарная геометрия	322	Наиболее удаленная точка
18	Элементарная геометрия	323	Центр тяжести
19	Элементарная геометрия	324	Диаметр множества
20	Элементарная геометрия	325	Сортировка точек
21	Элементарная геометрия	326	Максимальный периметр
22	Элементарная геометрия	327	Максимальная площадь
23	Элементарная геометрия	407	Треугольная рамка
24	Элементарная геометрия	433	Точка пересечения прямых
25	Элементарная геометрия	434	Положение точек вне прямой
26	Элементарная геометрия	435	Перпендикулярная прямая
27	Элементарная геометрия	436	Принадлежность точки отрезку
28	Элементарная геометрия	437	Параллельная прямая
29	Элементарная геометрия	438	Расстояние от точки до прямой
30	Элементарная геометрия	439	Расстояние от точки до отрезка
31	Элементарная геометрия	440	Точка пересечения высот
32	Элементарная геометрия	441	Точка пересечения медиан
33	Элементарная геометрия	442	Точка пересечения биссектрисс
34	Элементарная геометрия	443	Вписанная окружность
35	Элементарная геометрия	444	Описанная окружность
36	Элементарная геометрия	447	Полярный угол точки
37	Элементарная геометрия	448	Угол между векторами
38	Элементарная геометрия	449	Полярное расстояние
39	Элементарная геометрия	450	Сумма штрафа
40	Элементарная геометрия	454	Преобразование системы координат
41	Элементарная геометрия	496	Точки
1	Целочисленные алгоритмы	112450	Решето Эратосфена
2	Целочисленные алгоритмы	112451	Простые числа в диапазоне
3	Целочисленные алгоритмы	112452	Простые, оканчивающиеся на 3
4	Целочисленные алгоритмы	112453	Простые с одинаковой первой и последней цифрами
5	Целочисленные алгоритмы	112454	Простые с чётной суммой цифр
6	Целочисленные алгоритмы	112455	Простые с убыванием цифр
7	Целочисленные алгоритмы	112456	Простые палиндромы
8	Целочисленные алгоритмы	112457	Простые Софи-Жермен
9	Целочисленные алгоритмы	112458	Сбалансированные простые
10	Целочисленные алгоритмы	112459	Факториал
11	Целочисленные алгоритмы	112460	Двойной факториал
12	Целочисленные алгоритмы	112461	Возведение в степень
13	Целочисленные алгоритмы	112462	Сложение длинных чисел
14	Целочисленные алгоритмы	112463	Разность длинных чисел
15	Целочисленные алгоритмы	112464	Среднее длинных чисел
16	Целочисленные алгоритмы	112465	Деление длинного на короткое
17	Целочисленные алгоритмы	112466	Деление длинных чисел
18	Целочисленные алгоритмы	112467	Умножение длинных чисел
19	Целочисленные алгоритмы	112468	Длинный квадратный корень
20	Целочисленные алгоритмы	112469	Факторизация чисел
1	Sqrt-декомпозиция (корневая оптимизация)	934	Информационный стенд
2	Sqrt-декомпозиция (корневая оптимизация)	3312	Количество максимумов на отрезке
3	Sqrt-декомпозиция (корневая оптимизация)	113564	Кто это кинул?
4	Sqrt-декомпозиция (корневая оптимизация)	113774	Фурье?
5	Sqrt-декомпозиция (корневая оптимизация)	113775	Все на выборы!
6	Sqrt-декомпозиция (корневая оптимизация)	113784	Количество соседних цветов
7	Sqrt-декомпозиция (корневая оптимизация)	113785	Количество элементов < x и инкремент на отрезке
8	Sqrt-декомпозиция (корневая оптимизация)	113932	Путешествие по строке
9	Sqrt-декомпозиция (корневая оптимизация)	114134	Суровый корректор
10	Sqrt-декомпозиция (корневая оптимизация)	114217	Винни-Пух и бочки меда
11	Sqrt-декомпозиция (корневая оптимизация)	114218	Бар у Мо
12	Sqrt-декомпозиция (корневая оптимизация)	114219	Бар у Мо 2
13	Sqrt-декомпозиция (корневая оптимизация)	114308	K-й элемент
14	Sqrt-декомпозиция (корневая оптимизация)	114313	Солнечные панели
15	Sqrt-декомпозиция (корневая оптимизация)	112746	Река
1	Декартово дерево	2781	Декартово дерево
2	Декартово дерево	2782	Следующий
3	Декартово дерево	2791	В начало строя!
4	Декартово дерево	112599	Перекраска клеток
5	Декартово дерево	114315	Соответствие наборов
6	Декартово дерево	114322	Субмарины
7	Декартово дерево	114104	Очередь
8	Декартово дерево	113581	Массивы, числа, три хеша
9	Декартово дерево	113251	Подчисло
10	Декартово дерево	111881	Коллайдер
11	Декартово дерево	111793	Карать, не прощать!
12	Декартово дерево	3701	Посадка в поезд
13	Декартово дерево	2790	Range Minimum Query
14	Декартово дерево	114323	Генетика
15	Декартово дерево	111240	Переворот
16	Декартово дерево	2789	Своппер
1	Бор	30	T2005
2	Бор	933	Контроль доступа
3	Бор	1044	Лотерея
4	Бор	2881	Подстрока
5	Бор	3302	Type Printer
6	Бор	3871	«Abracadabra»
7	Бор	111729	Коды городов
8	Бор	111730	Цепочка слов
9	Бор	111779	Т9
10	Бор	111788	Сортировка слов
11	Бор	112092	Чапаев на дереве
12	Бор	113555	Генерал Хенрик
13	Бор	113705	Крыса - роботяга
14	Бор	114311	Везувий
1	Динамическое программирование на подотрезках	1905	Удаление скобок
2	Динамическое программирование на подотрезках	1906	Распил брусьев
3	Динамическое программирование на подотрезках	491	Почти палиндром
4	Динамическое программирование на подотрезках	3130	Длина максимального подпалиндрома
5	Динамическое программирование на подотрезках	1124	Максимальный подпалиндром
6	Динамическое программирование на подотрезках	3344	Игра (BCD)
7	Динамическое программирование на подотрезках	3717	Числа
8	Динамическое программирование на подотрезках	111485	Дубы
9	Динамическое программирование на подотрезках	2920	Перекраска полоски
10	Динамическое программирование на подотрезках	11	Казино
11	Динамическое программирование на подотрезках	691	Упаковка символов
12	Динамическое программирование на подотрезках	1908	Оптимальная триангуляция - 1
1	Динамическое программирование по подмножествам	1680	Королевское путешествие
2	Динамическое программирование по подмножествам	3785	Задача коммивояжёра --- 2
3	Динамическое программирование по подмножествам	2915	Кухня
4	Динамическое программирование по подмножествам	3862	msk.spring.2006.7C: гном
5	Динамическое программирование по подмножествам	113703	Раскраска графа
6	Динамическое программирование по подмножествам	3891	Совершенно секретно
7	Динамическое программирование по подмножествам	3039	Horse
8	Динамическое программирование по подмножествам	113813	Небоскрёбы
9	Динамическое программирование по подмножествам	77	Путевые строки
10	Динамическое программирование по подмножествам	1212	Перестановки
11	Динамическое программирование по подмножествам	114327	Завод
12	Динамическое программирование по подмножествам	883	Театр
13	Динамическое программирование по подмножествам	111426	Раздел имущества
14	Динамическое программирование по подмножествам	113570	День рождения Мирко
15	Динамическое программирование по подмножествам	113809	Простыни
16	Динамическое программирование по подмножествам	114309	Убежище
17	Динамическое программирование по подмножествам	114320	Взлом сейфа
1	Динамическое программирование по профилю	19	Треугольная реформа
2	Динамическое программирование по профилю	75	Симпатичные узоры
3	Динамическое программирование по профилю	76	Симпатичные узоры возвращаются
4	Динамическое программирование по профилю	78	Прямоугольники
5	Динамическое программирование по профилю	587	Симпатичные узоры
6	Динамическое программирование по профилю	1032	Узор
7	Динамическое программирование по профилю	1805	Ящички-2
8	Динамическое программирование по профилю	1849	Плитки
9	Динамическое программирование по профилю	1938	ЕГЭ
10	Динамическое программирование по профилю	3184	Космические исследования
11	Динамическое программирование по профилю	3203	Вася и его друзья
12	Динамическое программирование по профилю	3361	Bugs
13	Динамическое программирование по профилю	111523	Руммикуб
14	Динамическое программирование по профилю	111528	Шоколад
15	Динамическое программирование по профилю	111529	простое ЕГЭ
16	Динамическое программирование по профилю	111716	Вопль
17	Динамическое программирование по профилю	111727	Road
18	Динамическое программирование по профилю	111748	Лампочки
19	Динамическое программирование по профилю	112537	Паркетный пол
20	Динамическое программирование по профилю	114310	Парковка
1	Геометрия	113554	Король Артур
1	Тернарный поиск	3859	Дремучий лес
2	Тернарный поиск	3398	Велогонка
