83	Бинарный поиск-1	3729	ОПО: Бинарный и тернарный поиск	Волков М.А.				
84	Бег по кругу	111273	ОПО: Бинарный и тернарный поиск	Волков М.А.				
85	Расшифровка ДНК	113222	ОПО: Бинарный и тернарный поиск	Волков М.А.				
86	Поиграем?	113902	ОПО: Бинарный и тернарный поиск	Волков М.А.				
87	Серебряная медаль	1440	ОПО: Линейные алгоритмы	Волков М.А.				
88	Треугольник максимальной площади	112430	ОПО: Линейные алгоритмы	Волков М.А.				
89	Суммы на подотрезках	3308	ОПО: Линейные алгоритмы	Волков М.А.				
90	Сумма в прямоугольнике	2772	ОПО: Линейные алгоритмы	Волков М.А.				
91	Школа танцев	1216	ОПО: Линейные алгоритмы	Волков М.А.				
92	Мозаика	111225	ОПО: Линейные алгоритмы	Волков М.А.				
93	Имена	111493	ОПО: Линейные алгоритмы	Волков М.А.				
94	Делители числа	340	ОПО: Теория чисел	Волков М.А.				
95	Количество делителей	341	ОПО: Теория чисел	Волков М.А.				
96	Проверка на простоту	310	ОПО: Теория чисел	Волков М.А.				
97	Гипотеза Гольдбаха	152	ОПО: Теория чисел	Волков М.А.				
98	Разложение на простые	148	ОПО: Теория чисел	Волков М.А.				
99	Числа и цифры	111474	ОПО: Теория чисел	Волков М.А.				
100	Степень	1009	ОПО: Теория чисел	Волков М.А.				
101	Марсианские факториалы	584	ОПО: Теория чисел	Волков М.А.				
102	Дробь	3405	ОПО: Теория чисел	Волков М.А.				
103	Сокращение дроби	27	ОПО: Теория чисел	Волков М.А.				
104	Наименьшее общее кратное (BCD)	3338	ОПО: Теория чисел	Волков М.А.				
105	Шестеренки	1391	ОПО: Теория чисел	Волков М.А.				
106	ВТО	1346	ОПО: Теория чисел	Волков М.А.				
107	Расширенный алгоритм Евклида	3299	ОПО: Теория чисел	Волков М.А.				
108	Наибольший общий делитель	111286	ОПО: Теория чисел	Волков М.А.				
109	Простые числа(2)	617	ОПО: Теория чисел	Волков М.А.				
110	Простое число	973	ОПО: Теория чисел	Волков М.А.				
111	Делители	1639	ОПО: Теория чисел	Волков М.А.				
112	Самый дешевый путь	915	ОПО: Динамическое программирование (базовое)	Волков М.А.				
113	Калькулятор	2963	ОПО: Динамическое программирование (базовое)	Волков М.А.				
114	Последовательность из 0 и 1	207	ОПО: Динамическое программирование (базовое)	Волков М.А.				
115	Без трех единиц	912	ОПО: Динамическое программирование (базовое)	Волков М.А.				
116	Взрывоопасность	913	ОПО: Динамическое программирование (базовое)	Волков М.А.				
117	Взрывоопасность-2	914	ОПО: Динамическое программирование (базовое)	Волков М.А.				
118	Калькулятор с восстановлением ответа	2968	ОПО: Динамическое программирование (базовое)	Волков М.А.				
119	Последовательности из 0 и 1 без k одинаковых символов подряд	2997	ОПО: Динамическое программирование (базовое)	Волков М.А.				
120	Ход коня	2999	ОПО: Динамическое программирование (базовое)	Волков М.А.				
121	Бросание кубика	3000	ОПО: Динамическое программирование (базовое)	Волков М.А.				
122	Пилообразные последовательности	3001	ОПО: Динамическое программирование (базовое)	Волков М.А.				
123	Разбиения на слагаемые	3003	ОПО: Динамическое программирование (базовое)	Волков М.А.				
124	Разбиения на k слагаемых	3004	ОПО: Динамическое программирование (базовое)	Волков М.А.				
125	Количество правильных скобочных последовательностей	3005	ОПО: Динамическое программирование (базовое)	Волков М.А.				
126	Количество ПСП, где внутри квадратных скобок нет круглых	3006	ОПО: Динамическое программирование (базовое)	Волков М.А.				
127	Количество ПСП, вложенности k	3007	ОПО: Динамическое программирование (базовое)	Волков М.А.				
128	Оптимальная триангуляция - 2	1909	ОПО: ДП по подстрокам	Волков М.А.				
129	Расписание докладов	736	ОПО: События на прямой	Волков М.А.				
130	Современники	28	ОПО: События на прямой	Волков М.А.				
131	Реклама	1000	ОПО: События на прямой	Волков М.А.				
132	4D: объединение прямоугольников	3858	ОПО: События на прямой	Волков М.А.				
133	Четвертый этаж	3568	ОПО: Использование встроенных структур данных и алгоритмов	Волков М.А.				
134	Полиглоты	3757	ОПО: Использование встроенных структур данных и алгоритмов	Волков М.А.				
135	Англо-латинский словарь	3767	ОПО: Использование встроенных структур данных и алгоритмов	Волков М.А.				
136	Самое частое слово	3762	ОПО: Использование встроенных структур данных и алгоритмов	Волков М.А.				
137	Права доступа	3763	ОПО: Использование встроенных структур данных и алгоритмов	Волков М.А.				
138	Такси	1086	ОПО: Использование встроенных структур данных и алгоритмов	Волков М.А.				
139	Личные дела	1404	ОПО: Использование встроенных структур данных и алгоритмов	Волков М.А.				
140	Лучшие друзья девушек - это фуллерены	3580	ОПО: Использование встроенных структур данных и алгоритмов	Волков М.А.				
141	2^n	123	ОПО: Битовые операции	Волков М.А.				
142	Установить значение бита в 0	126	ОПО: Битовые операции	Волков М.А.				
143	Определить значение бита	128	ОПО: Битовые операции	Волков М.А.				
144	Инвертировать бит	125	ОПО: Битовые операции	Волков М.А.				
145	Обнулить все биты, кроме последних	127	ОПО: Битовые операции	Волков М.А.				
146	Вывести значение байта побитно	129	ОПО: Битовые операции	Волков М.А.				
147	Обнулить последние биты	121	ОПО: Битовые операции	Волков М.А.				
148	2^n+2^m	122	ОПО: Битовые операции	Волков М.А.				
149	Установить значение бита в 1	124	ОПО: Битовые операции	Волков М.А.				
150	Голосование	1800	ОПО: Битовые операции	Волков М.А.				
151	Забавная игра	1007	ОПО: Битовые операции	Волков М.А.				
152	Совершенные числа	111595	ОПО: Битовые операции	Волков М.А.				
153	Миссия джедая Ивана	113573	ОПО: Битовые операции	Волков М.А.				
154	Уравнения математической магии	113938	ОПО: Битовые операции	Волков М.А.				
155	Точки на плоскости	111591	ОПО: Битовые операции	Волков М.А.				
156	Трехмерные ладьи	1091	ОПО: Битовые операции	Волков М.А.				
157	Кубики	3753	ОПО: Подмножества. ДП по подмножествам	Волков М.А.				
158	Угадай число	3755	ОПО: Подмножества. ДП по подмножествам	Волков М.А.				
159	Укладка плитки	112750	ОПО: ДП по профилю	Волков М.А.				
160	Выпуклость многоугольника	287	ОПО: Геометрия	Волков М.А.				
161	Лежит ли точка внутри многоугольника	288	ОПО: Геометрия	Волков М.А.				
162	Площадь многоугольника	289	ОПО: Геометрия	Волков М.А.				
163	Целочисленные точки	291	ОПО: Геометрия	Волков М.А.				
164	Выпуклая оболочка	290	ОПО: Геометрия	Волков М.А.				
165	Куда идем мы с Пяточком?	1128	ОПО: Геометрия	Волков М.А.				
166	N-ое число Фибоначчи	153	ОПО: Рекурсия	Волков М.А.				
167	НОД	154	ОПО: Рекурсия	Волков М.А.				
168	Быстрое возведение в степень	3806	ОПО: Рекурсия	Волков М.А.				
169	Сумма последовательности	3804	ОПО: Рекурсия	Волков М.А.				
170	Без массивов	156	ОПО: Рекурсия	Волков М.А.				
171	Разворот последовательности	3805	ОПО: Рекурсия	Волков М.А.				
172	Ханойские башни	3050	ОПО: Рекурсия	Волков М.А.				
173	Циклические башни	3810	ОПО: Рекурсия	Волков М.А.				
174	Ремонт в Ханое	3809	ОПО: Рекурсия	Волков М.А.				
175	Фишки	3814	ОПО: Рекурсия	Волков М.А.				
176	Последовательность	111589	ОПО: Рекурсия	Волков М.А.				
177	Функция	111599	ОПО: Рекурсия	Волков М.А.				
178	Все перестановки заданной длины	85	ОПО: Рекурсивное построение последовательностей	Волков М.А.				
179	Все возрастающие последовательности длины k из чисел 1..n	87	ОПО: Рекурсивное построение последовательностей	Волков М.А.				
180	Мирные ферзи	93	ОПО: Рекурсивное построение последовательностей	Волков М.А.				
181	Разбиения на слагаемые	3003	ОПО: Рекурсивное построение последовательностей	Волков М.А.				
182	Статуи на мосту	1681	ОПО: Рекурсивное построение последовательностей	Волков М.А.				
183	Сортировка вагонов	1738	ОПО: Структуры данных STL	Волков М.А.				
184	Переключение между окнами	412	ОПО: Структуры данных STL	Волков М.А.				
185	Встречалось ли число раньше	3752	ОПО: Структуры данных STL	Волков М.А.				
186	SymmSub	3106	ОПО: Структуры данных STL	Волков М.А.				
187	Страны и города	3765	ОПО: Структуры данных STL	Волков М.А.				
188	Самое частое слово	3762	ОПО: Структуры данных STL	Волков М.А.				
189	Коммерческий калькулятор	746	ОПО: Структуры данных STL	Волков М.А.				
190	Выборы в США - 2	3770	ОПО: Структуры данных STL	Волков М.А.				
191	Финал	112536	ОПО: Структуры данных STL	Волков М.А.				
192	Разные	1418	ОПО: Структуры данных STL	Волков М.А.				
193	Делители числа	340	ОПО: Целочисленная арифметика	Волков М.А.				
194	Количество делителей	341	ОПО: Целочисленная арифметика	Волков М.А.				
195	Проверка на простоту	310	ОПО: Целочисленная арифметика	Волков М.А.				
196	Гипотеза Гольдбаха	152	ОПО: Целочисленная арифметика	Волков М.А.				
197	Разложение на простые	148	ОПО: Целочисленная арифметика	Волков М.А.				
198	Числа и цифры	111474	ОПО: Целочисленная арифметика	Волков М.А.				
199	Марсианские факториалы	584	ОПО: Целочисленная арифметика	Волков М.А.				
200	Степень	1009	ОПО: Целочисленная арифметика	Волков М.А.				
201	Наименьшее общее кратное (BCD)	3338	ОПО: Целочисленная арифметика	Волков М.А.				
202	Сокращение дроби	27	ОПО: Целочисленная арифметика	Волков М.А.				
203	Принадлежит ли точка углу	3099	ОПО: Базовая геометрия	Волков М.А.				
204	Подпалиндромы	1750	ОПО: Строки	Волков М.А.				
205	Обратная префикс-функция (A+)	3353	ОПО: Строки	Волков М.А.				
206	Симпатичные прямоугольники	1390	ОПО: Строки	Волков М.А.				
207	Электронное табло	1943	ОПО: Строки	Волков М.А.				
208	Различные подстроки	111789	ОПО: Строки	Волков М.А.				
209	Турбулентность	112702	ОПО: Строки	Волков М.А.				
210	Задачечка на строчечки	111732	ОПО: Строки	Волков М.А.				
211	A + B = C	111490	ОПО: ДП в задачах регионального этапа	Волков М.А.				
212	Интервальные тренировки	114043	ОПО: ДП в задачах регионального этапа	Волков М.А.				
213	Укладка плитки	112750	ОПО: ДП в задачах регионального этапа	Волков М.А.				
214	Машинное обучение	114041	ОПО: ДП в задачах регионального этапа	Волков М.А.				
215	Красота фейрверка	113763	ОПО: Графы в задачах регионального этапа	Волков М.А.				
216	Размещение данных	113441	ОПО: Графы в задачах регионального этапа	Волков М.А.				
217	Экспедиция	114044	ОПО: Графы в задачах регионального этапа	Волков М.А.				
218	Антенна	114538	ОПО: Графы в задачах регионального этапа	Волков М.А.				
219	Волонтеры	112043	ОПО: Графы в задачах регионального этапа	Волков М.А.				
220	Полезные ископаемые	113442	ОПО: Графы в задачах регионального этапа	Волков М.А.				
221	Столицы	111495	ОПО: Графы в задачах регионального этапа	Волков М.А.				
222	5D: лексикографический порядок	3488	ОПО: Правильные скобочные последовательности	Волков М.А.				
223	5C: количество ПСП	3487	ОПО: Правильные скобочные последовательности	Волков М.А.				
224	Скобки	1770	ОПО: Правильные скобочные последовательности	Волков М.А.				
225	5E: культорги и скобки	3554	ОПО: Правильные скобочные последовательности	Волков М.А.				
226	НВП	205	ОПО: НВП и НОП	Волков М.А.				
227	НВП с восстановлением ответа	1792	ОПО: НВП и НОП	Волков М.А.				
228	Возрастающая подпоследовательность	613	ОПО: НВП и НОП	Волков М.А.				
229	НОП	204	ОПО: НВП и НОП	Волков М.А.				
230	Расстояние по Левенштейну	1791	ОПО: НВП и НОП	Волков М.А.				
231	НОВП	1720	ОПО: НВП и НОП	Волков М.А.				
232	Максимумы на подотрезках	3309	ОПО: Sparse Table	Волков М.А.				
233	Проверка на неориентированность	460	ОПО: Способы задания графа	Волков М.А.				
234	Петли	461	ОПО: Способы задания графа	Волков М.А.				
235	От матрицы смежности к списку ребер, неориентированный вариант	464	ОПО: Способы задания графа	Волков М.А.				
236	От матрицы смежности к списку ребер, ориентированный вариант	466	ОПО: Способы задания графа	Волков М.А.				
237	От списка ребер к матрице смежности, ориентированный вариант	467	ОПО: Способы задания графа	Волков М.А.				
238	Проверка на наличие параллельных ребер, неориентированный вариант	468	ОПО: Способы задания графа	Волков М.А.				
239	Полустепени вершин	472	ОПО: Способы задания графа	Волков М.А.				
240	Степени вершин по спискам ребер	471	ОПО: Способы задания графа	Волков М.А.				
241	Истоки и стоки	474	ОПО: Способы задания графа	Волков М.А.				
242	Регулярный граф	475	ОПО: Способы задания графа	Волков М.А.				
243	Турнир	478	ОПО: Способы задания графа	Волков М.А.				
244	Обрати меня!	111539	ОПО: Способы задания графа	Волков М.А.				
245	Два коня	163	ОПО: Поиск в ширину	Волков М.А.				
246	Игрушечный лабиринт	1472	ОПО: Поиск в ширину	Волков М.А.				
247	Числа	2001	ОПО: Поиск в ширину	Волков М.А.				
248	Только направо	2002	ОПО: Поиск в ширину	Волков М.А.				
249	Цивилизация	2003	ОПО: Поиск в ширину	Волков М.А.				
250	Наименьшее кратное	2004	ОПО: Поиск в ширину	Волков М.А.				
251	Дейкстра	5	ОПО: Алгоритм Дейкстры	Волков М.А.				
252	Дейкстра: восстановление пути	6	ОПО: Алгоритм Дейкстры	Волков М.А.				
253	Заправки	7	ОПО: Алгоритм Дейкстры	Волков М.А.				
254	Транспортировка	1967	ОПО: Алгоритм Дейкстры	Волков М.А.				
255	Алгоритм Дейкстры за $M$~log$N$	3494	ОПО: Алгоритм Дейкстры	Волков М.А.				
256	Ездящий город	1745	ОПО: Алгоритм Дейкстры	Волков М.А.				
257	Автобусы	170	ОПО: Алгоритм Дейкстры	Волков М.А.				
258	Лифты	1087	ОПО: Алгоритм Дейкстры	Волков М.А.				
259	Расписание докладов	736	Сортировка событий и сканирующая точка	Федоров К.Е.				
260	Таможня	1755	Сортировка событий и сканирующая точка	Федоров К.Е.				
261	Носки	1429	Сортировка событий и сканирующая точка	Федоров К.Е.				
262	Тупики	489	Сортировка событий и сканирующая точка	Федоров К.Е.				
263	День рождения	111791	Сортировка событий и сканирующая точка	Федоров К.Е.				
264	Операционные системы	1622	Сортировка событий и сканирующая точка	Федоров К.Е.				
265	Автобусы	17	Сортировка событий и сканирующая точка	Федоров К.Е.				
266	Современники	28	Сортировка событий и сканирующая точка	Федоров К.Е.				
267	Межпланетные электрички	114439	Сортировка событий и сканирующая точка	Федоров К.Е.				
268	Реклама	1000	Сортировка событий и сканирующая точка	Федоров К.Е.				
269	Кассы	514	Сортировка событий и сканирующая точка	Федоров К.Е.				
270	НГУ-стройка	1338	Сортировка событий и сканирующая точка	Федоров К.Е.				
